Month,2015,2016,2017,2018
1,14205.707,18066.9576,18542.490999999998,43476.474
2,4519.892,11951.411,22978.815,19920.9974
3,55205.797,32339.3184,51165.059,58863.4128
4,27906.855,34154.4685,38679.767,35541.9101
5,23644.303,29959.5305,56656.908,43825.9822
6,34322.9356,23599.374,39724.486,48190.7277
7,33781.543,28608.259000000002,38320.783,44825.104
8,27117.5365,36818.3422,30542.2003,62837.848
9,81623.5268,63133.606,69193.3909,86152.888
10,31453.393,31011.7375,59583.033,77448.1312
11,77907.66070000001,75249.3995,79066.4958,117938.155
12,68167.0585,74543.6012,95739.121,83030.3888
